FAU,Bullet,Land,Quality,Problem,assess_percentile_na_proportion,assess_col_na,extract_na,assess_middle_na_proportion,assess_rotation,assess_bottomempty,assess_median_na_proportion,assess_percentile_na_proportion_cropped,assess_col_na_cropped,extract_na_cropped,assess_bottomempty_cropped,assess_median_na_proportion_cropped,filePath
3,A,6,Bad,Damage,0.015885624,0.963424331,14.65640908,0.041737081,0.731177826,27.1955985,0.015885624,0.111929308,0.530191458,8.42917974,12.74860729,0.068630339,/media/Raven/LAPD/FAU 3/Bullet A/LAPD - 3 - Bullet A - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
4,B,4,Bad,Damage,0.006237006,0.877703827,13.32407864,0.02804936,2.930338686,25.80851183,0.006237006,0.124930663,0.479198767,7.228110136,13.53788437,0.044375963,/media/Raven/LAPD/FAU 4/Bullet B/LAPD - 4 - Bullet B - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
5,B,5,Bad,Damage,0.163823879,3.189518264,30.98962093,0.205566848,0.927301989,30.96889591,0.163823879,0.400882353,2.994117647,27.61643223,19.01039003,0.225882353,/media/Raven/LAPD/FAU 5/Bullet B/LAPD - 5 - Bullet B - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
5,B,6,Bad,Damage,0.080202617,1.55915493,21.65332562,0.108148605,0.204156316,34.05380474,0.080202617,0.205446009,1.084507042,15.6746615,27.63148942,0.1342723,/media/Raven/LAPD/FAU 5/Bullet B/LAPD - 5 - Bullet B - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
16,B,5,Bad,Damage,0.102479339,1.93824097,22.33172462,0.150349098,2.544717712,46.35983356,0.102479339,0.20557598,0.828737745,17.3731218,27.83577765,0.125612745,/media/Raven/LAPD/FAU 16/Bullet B/LAPD - 16 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
22,B,5,Bad,Damage,0.053486529,1.486915147,20.37178725,0.085978825,1.858898772,40.87600313,0.053486529,0.147179788,0.732961222,11.07207633,20.37564502,0.105170388,/media/Raven/LAPD/FAU 22/Bullet B/LAPD - 22 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
51,D,6,Bad,Damage,0.098775855,1.505633803,18.80120606,0.110919398,0.385061155,35.88492834,0.098775855,0.187480438,0.85915493,12.31190039,22.17391304,0.114241002,/media/Raven/LAPD/FAU 51/Bullet D/LAPD - 51 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
58,B,1,Bad,Damage,0.112036651,2.030294608,21.99402622,0.133844928,2.052167124,29.06483291,0.112036651,0.195305744,1.405188388,16.78088998,17.56720466,0.175108091,/media/Raven/LAPD/FAU 58/Bullet B/LAPD - 58 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
58,D,2,Bad,Damage,0.033195021,1.199113819,18.00431667,0.068495814,2.526823935,31.38287404,0.033195021,0.134318252,0.680209295,10.4389645,16.04339797,0.089258233,/media/Raven/LAPD/FAU 58/Bullet D/LAPD - 58 - Bullet D - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
65,A,5,Bad,Damage,0.058524173,1.764789131,22.00119029,0.124679506,0.698022495,43.12267051,0.058524173,0.279458949,1.124567474,15.64642969,30.55565053,0.117961623,/media/Raven/LAPD/FAU 65/Bullet A/LAPD - 65 - Bullet A - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
71,A,1,Bad,Damage,0.087529976,1.835510531,21.33770519,0.086764363,1.179313558,27.1021895,0.087529976,0.202074074,1.22962963,13.8094686,19.71803543,0.16,/media/Raven/LAPD/FAU 71/Bullet A/LAPD - 71 - Bullet A - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p
71,B,3,Bad,Damage,0.047133758,1.3101983,13.84100532,0.059004172,2.460847327,24.3303454,0.047133758,0.134907145,0.712936733,9.064266262,16.32521794,0.081208687,/media/Raven/LAPD/FAU 71/Bullet B/LAPD - 71 - Bullet B - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p
73,B,4,Bad,Damage,0.06496063,1.5904912,23.20161374,0.094719287,0.162149737,41.70649786,0.06496063,0.181260946,1.101868068,14.16549278,21.32826975,0.140396964,/media/Raven/LAPD/FAU 73/Bullet B/LAPD - 73 - Bullet B - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
75,D,5,Bad,Damage,0.044550517,1.964712125,26.40302493,0.102356203,0.252896627,41.76921,0.044550517,0.260259434,1.270636792,16.44226825,29.33661044,0.116745283,/media/Raven/LAPD/FAU 75/Bullet D/LAPD - 75 - Bullet D - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
77,B,6,Bad,Damage,0.001589193,1.082979852,12.91100033,0.026866355,0.807636136,26.70601614,0.001589193,0.082911019,0.509723041,6.388255489,15.48464682,0.043311727,/media/Raven/LAPD/FAU 77/Bullet B/LAPD - 77 - Bullet B - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p
85,C,2,Bad,Damage,0.008274232,0.927970557,12.67372514,0.056292317,4.932533706,35.44912851,0.008274232,0.055156296,0.165059889,4.84516506,16.1365253,0.021326322,/media/Raven/LAPD/FAU 85/Bullet C/LAPD - 85 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
86,D,4,Bad,Damage,0.049705139,1.446443632,13.54698004,0.049093325,0.16879033,24.83613466,0.049705139,0.168197438,0.95126523,9.477744727,18.55754995,0.082786629,/media/Raven/LAPD/FAU 86/Bullet D/LAPD - 86 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
